event_key,campaign_source
nswspc,2024 NSWSPC Campaign
nswspc,2025 NSWSPC
nswspc,2025 NSWSPC Western Sydney
nswspc,2025 T1 NSWSPC PL Day
nswspc,AU 2026 - NSWSPC
wassea,2025 WASSEA
asa,2025 ASA Conference
asa,AU 2026 - ASA
pesa,2025 PESA Conference
qassp-school-leadership,AU 2026 - QASSP Conference
caspa-national,2024 CASPA Campaign
caspa-national,2025 CaSPAC
caspa-national,AU 2026 - CASPA
qspa,QSPA 2025
qspa,AU 2026 - QSPA
nswsdpa,2025 NSWSDPA
nswsdpa,AU 2026 - NSWSDPA
vassp-2026,AU 2026 - VASSP
earcos-annual-leadership,2025 T1 SEA EARCOS
hices,2025 HICES
sawlis,AU 2026 - T1 SAWLIS
