event_key,name,market,audience,date_text,location,state,expected_delegates,cost_aud,tier,status,speaking_slot,delegate_list,claimed_deals,url,source_sheets
acec-2026,ACEC 2026,AU,K12,?,?,,750,,3.0,,unknown,unknown,,https://www.2025acec.edu.au/,AU Events|AU Revised - KM
acel-2026,ACEL 2026,AU,K12,30th September 2026,"Perth, WA",WA,1500,,2.0,,unknown,unknown,,https://community.acel.org.au/calendar/event-description?CalendarEventKey=9d1616bf-47bf-4e4c-b7e0-019a069746dd&Home=%2fcalendar%2fcalendar,AU Events|AU Revised - KM
acsp-nsw-catholic-principals,ACSP NSW Catholic Principals,AU,,NO,,,,,,,unknown,unknown,,,AU Events|AU Revised - KM
acssq,ACSSQ,AU,Secondary,29th-31st July 2026,"Noosa, QLD",QLD,250,3500.0,2.0,,yes,yes,,https://accssq.com/,AU Events
ahisa-national-event,AHISA National Event,AU,K12,2026-10-01 00:00:00,"Perth, WA",WA,250,,2.0,,unknown,unknown,,https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx,AU Events|AU Revised - KM
aisnsw,AISNSW,AU,K12,27th March 2026,"Sydney, NSW",NSW,300,,2.0,,unknown,unknown,,https://www.aisnsw.edu.au/courses/pages/CourseDetails.aspx?cId=131b426cf8ee4eee94dcd6398efb528a,AU Events|AU Revised - KM
aiswa-wellbeing-and-respectful-relationships,AISWA Wellbeing and Respectful Relationships Conference,AU,K12 Independent,2026-09-09 00:00:00,"University Club, UWA, Crawley, WA",WA,,,2.0,,unknown,unknown,,https://www.ais.wa.edu.au/aiswa-wellbeingconference,AU Events
alea-national,ALEA National Conference,AU,Primary,9th July 2026,"Fremantle, WA",WA,900,,3.0,,unknown,unknown,,https://www.alea.edu.au/professional-learning/alea-national-conference/,AU Events|AU Revised - KM
apacs-2026-national,APACS 2026 National Conference,AU,K12,?,?,,300,,3.0,,unknown,unknown,,https://www.apacs.org.au/2021-apacs-national-conference,AU Events|AU Revised - KM
appa-national,APPA National Conference,AU,Primary,31th August 2026,"Canberra, ACT",ACT,900,6000.0,1.0,Booked,no,yes,,https://appa.asn.au/events/conferences/2026-appa-national-conference-canberra/,AU Events|AU Revised - KM|2026 Events
asa,ASA,AU,Secondary,30th July 2026,"Perth, WA",WA,150,17600.0,1.0,Booked,yes,yes,10,https://www.anglicanschoolsaustralia.edu.au/2026-conference/,AU Events|AU Revised - KM|2026 Events
asreap,ASREAP Conference,AU,Secondary,20th-21th August 2026,"Brisbane, QLD",QLD,100,2000.0,2.0,Booked,yes,unknown,,,AU Events
booth-spend-beyond-basic-screen-gifts,"Booth spend beyond basic (screen, gifts)",AU,,,,,,,,,unknown,unknown,,,AU Events|UK Events|International Events|AU Revised - KM
cen-national,CEN National Conference,AU,K12,14th March 2026,"Sydney, NSW",NSW,300,,2.0,,unknown,unknown,,https://cen.edu.au/events/national-conference-agm-2026/,AU Events|AU Revised - KM
csdpa-national,CSDPA National Conference,AU,Secondary,26th-28th August 2026,"Perth, WA",WA,120,6000.0,2.0,Booked,yes,yes,,https://www.csdpa.wa.edu.au/conference,AU Events|AU Revised - KM|2026 Events
caspa-national,CaSPA National Conference,AU,Secondary,7th July 2026,"Sydney, NSW",NSW,250,16500.0,1.0,Booked,yes,yes,,https://www.caspa.edu.au/newsletter/article/1305?skin=1,AU Events|AU Revised - KM|2026 Events
caspaq,CaSPAQ,AU,Secondary,7 July 2026?,"Sydney, NSW?",NSW,300,,2.0,,unknown,unknown,6,,AU Events|AU Revised - KM
child-adolescent-mental-health,Child & Adolescent Mental Health Conference,AU,K12,16th March 2026,"Gold Coast, QLD",QLD,850,,3.0,,unknown,unknown,,https://anzmh.asn.au/camhc,AU Events|AU Revised - KM
doing-school-differently-2026,Doing School Differently 2026,AU,K12?,4th June 2026,"Melbourne, VIC",VIC,,,2.0,,unknown,unknown,,,AU Events|AU Revised - KM
edutech,Edutech,AU,,NO,,,,,,,unknown,unknown,,,AU Events|AU Revised - KM
hices,HICES,AU,K12,2027-06-01 00:00:00,"Sydney, NSW",NSW,170,,3.0,,unknown,unknown,2,,AU Events|AU Revised - KM
ipsha-2026,IPSHA 2026,AU,Primary,4th June 2026,"Fremantle, WA",WA,400,,3.0,,unknown,unknown,,https://ipsha.org.au/events/upcoming-conferences-and-events/,AU Events|AU Revised - KM
isq-heart-of-learning,ISQ Heart of Learning,AU,K12,26th May 2026,"Brisbane, QLD",QLD,90,220.0,2.0,Booked,yes,unknown,,https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,AU Events
lead-the-way-conference-2026,Lead the Way Conference 2026,AU,K12,2-3 September 2026,"Melbourne, VIC",VIC,500,3000.0,2.0,Booked,no,unknown,,,AU Events
nes-wellbeing-for-future-focused-schools,NES Wellbeing for Future Focused Schools,AU,K12,3rd September 2026,"Melbourne, VIC",VIC,1500,15500.0,3.0,,yes,no,,https://www.nationaleducationsummit.com.au/melbourne/wellbeing-for-future-focused-schools,AU Events|AU Revised - KM
nesa-national-education-summit,NESA National Education Summit,AU,,NO,,,,,,,unknown,unknown,,,AU Events|AU Revised - KM
nsw-selective-and-partially-selective-schools,NSW Selective and Partially Selective Schools Conference,AU,Secondary,4-6 November 2026,"Wollongong, NSW",NSW,,1000.0,2.0,Booked,yes,unknown,,,AU Events
nswppa,NSWPPA,AU,Primary,27th October,?,,400,6000.0,1.0,,unknown,unknown,,https://www.nswppa.org.au/sponsorship-enquiries,AU Events
nswsdpa,NSWSDPA,AU,Secondary,2nd September 2026,"Sydney, NSW",NSW,400,24750.0,1.0,Booked,yes,yes,5,https://nswsdpa.asn.au/news/2026-annual-conference-call-for-potentexhibitors/,AU Events|AU Revised - KM|2026 Events
nswspc,NSWSPC Conference,AU,Secondary,9th June 2026,"Sydney, NSW",NSW,500,13200.0,1.0,Booked,no,yes,29,https://nswspc.org.au/event/spc-annual-conference/,AU Events|AU Revised - KM|2026 Events
nswspc-regional-meetings,NSWSPC Regional Meetings,AU,Secondary,?,?,,50,,1.0,,yes,yes,,,AU Events|AU Revised - KM
nswselectives,NSWSelectives,AU,,NO,,,,,,,unknown,unknown,,,AU Events|AU Revised - KM
pesa,PESA,AU,K12,?,?,,300,,1.0,,unknown,unknown,8,,AU Events|AU Revised - KM
positive-schools,Positive Schools Conference,AU,K12,?,?,,1000,,3.0,,unknown,no,,https://www.positiveschools.com/Positive-Schools-2025-Mental-Health-and-Wellbeing-Conferences,AU Events|AU Revised - KM
positive-schools-sydney-2026,Positive Schools Sydney 2026,AU,K12,5-6 November 2026,"Rydges World Square Hotel, Sydney, NSW",NSW,,,2.0,WIP,no,no,,https://www.positiveschools.com/positive-schools-2026-mental-health-wellbeing-conferences,AU Events
qassp-school-leadership,QASSP School Leadership Conference,AU,Primary,13th May 2026,"Brisbane, QLD",QLD,420,5500.0,1.0,Booked,no,yes,,https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3,AU Events|AU Revised - KM
qiss-2026,QISS 2026,AU,K12,18 - 20 August 2026,"Gold Coast, QLD",QLD,100,6000.0,1.0,,unknown,unknown,,https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,AU Revised - KM
qspa,QSPA,AU,Secondary,27th May 2026,"Brisbane, QLD",QLD,400,8800.0,2.0,Booked,no,yes,6,https://qspa.asn.au/events,AU Events|AU Revised - KM|2026 Events
saasla-conference-2026,SAASLA Conference 2026,AU,Secondary,?,?,,100,,3.0,,unknown,unknown,,https://educators-sa.sa.edu.au/events/2025-saasla-conference-strengthening-country-connections/,AU Events|AU Revised - KM
sacppa,SACPPA,AU,Primary,27th May 2026,"Adelaide, SA",SA,180,,2.0,,unknown,unknown,,https://www.sacppa.com.au/,AU Events|AU Revised - KM
sappa-2026,SAPPA 2026,AU,Primary,11th June 2026,"Adelaide, SA",SA,190,,2.0,,unknown,unknown,,https://sappa.com.au/,AU Events|AU Revised - KM
saspa-annual,SASPA Annual Conference,AU,Secondary,6th August 2026,"Adelaide, SA",SA,300,,2.0,,unknown,unknown,,https://saspa.com.au/annual-conference/overview/,AU Events|AU Revised - KM
sawlis,SAWLIS,AU,K12,27th March 2026,SA,SA,70,1000.0,2.0,Booked,yes,no,1,https://www.sawlissas.com.au/conference,AU Events|AU Revised - KM|2026 Events
speaking-spots-in-the-program,Speaking spots in the program,AU,,,,,,,,,unknown,unknown,,,AU Events|UK Events|International Events|AU Revised - KM
student-anxiety-summit,Student Anxiety Summit,AU,Primary,27th February 2026,"Sydney, NSW",NSW,200,,3.0,,unknown,unknown,,https://www.instagram.com/p/DRQqPPDEQhn/,AU Events|AU Revised - KM
tpa-2026,TPA 2026,AU,K12,20th May 2026,Launceston,,130,,2.0,,unknown,unknown,,https://tasprincipals.com/,AU Events|AU Revised - KM
trauma-aware-education,Trauma-Aware Education Conference,AU,K12,29th-31st October 2026,"Brisbane, QLD",QLD,300,3200.0,2.0,,no,no,,,AU Events
vassp-2026,VASSP 2026,AU,Secondary,13th-14th August 2026,?,,150,,2.0,Booked,unknown,unknown,,https://tcm.swoogo.com/vassp26,AU Events|AU Revised - KM
vcssdpa,VCSSDPA,AU,Secondary,9th September 2026,?,,140,6000.0,1.0,Booked,unknown,unknown,1,,AU Events|AU Revised - KM
vicspc,VICSPC,AU,Secondary,28th May 2026,"Melbourne, VIC",VIC,210,,2.0,,unknown,unknown,,https://www.academy.vic.gov.au/government-schools-principals-conference?utm_source=chatgpt.com,AU Events|AU Revised - KM
wappa,WAPPA,AU,Primary,16th September 2026,"Perth, WA",WA,500,6800.0,1.0,,unknown,yes,,,AU Events|AU Revised - KM
wassea,WASSEA,AU,Secondary,13th August 2026,"Perth, WA",WA,200,9350.0,1.0,Booked,yes,yes,15,https://www.wassea.asn.au/event/wassea-conference-2025/attachment/conference-2026-featured/,AU Events|AU Revised - KM|2026 Events
wellbeing-for-learning,Wellbeing For Learning Conference,AU,K12,20th February 2026,"Adelaide, SA",SA,160,,2.0,,unknown,unknown,,https://events.humanitix.com/wellbeing-for-learning-conference-2026,AU Events|AU Revised - KM
2027-ecis-leadership,2027 ECIS Leadership Conference,INT,K12,15th-17th April 2027,"Stockholm International School, Sweden",,,675.0,2.0,TBC,unknown,unknown,,https://ecis.org/event/leadership2027/,International Events
22nd-taisi,22nd TAISI Conference,INT,K12,17-19 September 2026,"Goa, India",,400,,2.0,TBC,unknown,unknown,,https://taisi.in/,International Events
45th-cobis-annual,45th COBIS Annual Conference,INT,K12,14-16 May 2027,"London, UK",,,,1.0,TBC,unknown,unknown,,https://www.cobis.org.uk/professional-learning/annual-conference,International Events
57th-annual-earcos-leadership,57th Annual EARCOS Leadership Conference,INT,K12,21-23 October 2027,"Shangri-La Hotel, Bangkok",,,,2.0,TBC,unknown,unknown,,https://www.earcos.org/conferences.php,International Events
aaie,AAIE,INT,,,,,,,,,unknown,unknown,,,International Events
acamis-technology-conference-2026,ACAMIS Technology Conference 2026,INT,K12,17th-18th October 2026,Beijing,,150,1500.0,3.0,TBC,unknown,unknown,,,International Events
acsi,ACSI,INT,,,,,,,,,unknown,unknown,,,International Events
ai-and-future-of-education-conference-aife,AI and Future of Education Conference (AIFE),INT,K12,31st Oct-1st Nov 2026,Bangkok,,200,1500.0,3.0,TBC,unknown,unknown,,,International Events
aisa-2026,AISA 2026 Conference,INT,K12,5-8 November 2026,"Nairobi, Kenya",,,,3.0,TBC,unknown,unknown,,https://www.aisa.or.ke/events-list/aisa-2026-conference,International Events
aobso-conference-2026-leadership-under-pressure,AoBSO Conference 2026: Leadership Under Pressure,INT,K12,8-10 November 2026,"Richmond Hill Hotel, London",,,,2.0,TBC,unknown,unknown,,https://www.aobso.uk/aobso-conference,International Events
bsme-annual-school-leaders,BSME Annual School Leaders’ Conference,INT,K12,2nd - 4th February 2027,Abu Dhabi,,150,,1.0,TBC,unknown,unknown,,https://www.bsme.org.uk/annual-conference,International Events
bsme-leadership-retreat,BSME Leadership Retreat,INT,K12,5-7 November 2026,"UAE, venue TBC",,,30000.0,2.0,TBC,unknown,unknown,,https://www.bsme.org.uk/leadership-retreat-sponsorship-opportunities,International Events
bsme-safety-belonging,BSME Safety & Belonging,INT,K12,18th April 2026,Dubai,,50,520.0,2.0,No,unknown,unknown,,,International Events
bsme-teachercon-dxb26,BSME TeacherCon DXB26,INT,K12,3rd October 2026,Dubai,,200,1500.0,3.0,TBC,unknown,unknown,,https://www.bsme.org.uk/bsme-teachercon-dxb26,International Events
bsme-teachercon-ksa26,BSME TeacherCon KSA26,INT,K12,14th November 2026,Saudi Arabia,,200,1200.0,3.0,TBC,unknown,unknown,,https://www.bsme.org.uk/bsme-teachercon-ksa26,International Events
bsme-teachercon-qatar,BSME TeacherCon Qatar,INT,,,,,,,,,unknown,unknown,,,International Events
bsme-wellbeing-safeguarding,BSME Wellbeing & Safeguarding Conference,INT,K12,16th January 2027,TBC,,,,1.0,TBC,unknown,unknown,,https://www.bsme.org.uk/bsme-annual-calendar,International Events
cobis-annual,COBIS Annual Conference,INT,K12,9th-11th May 2026,London,,675,3129.0,1.0,No,no,no,,https://www.cobis.org.uk/professional-learning/annual-conference,International Events|2026 Events
